date,site,parameter,value,units
2020-09-28,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0949,mg/L
2020-08-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.104,mg/L
2020-07-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0897,mg/L
2020-06-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0865,mg/L
2020-03-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.062,mg/L
2020-02-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0681,mg/L
2020-01-22,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0725,mg/L
2019-12-18,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.072,mg/L
2019-11-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0691,mg/L
2019-10-16,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0835,mg/L
2019-09-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0748,mg/L
2019-08-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0816,mg/L
2019-07-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.116,mg/L
2019-07-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.12,mg/L
2019-06-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0805,mg/L
2019-05-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0915,mg/L
2019-04-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0517,mg/L
2019-03-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0455,mg/L
2019-02-25,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0476,mg/L
2019-01-09,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0536,mg/L
2018-12-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0503,mg/L
2018-11-07,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0643,mg/L
2018-10-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0634,mg/L
